%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1681293071317132160,34073,1681293071316579416,j2s6s300_link_base,0.2950129508972168,-0.25552839040756226,0.027411893010139465,-0.18948405981063843,0.7189965844154358,-0.1438082754611969,0.6530382633209229
1681293071416984569,34074,1681293071416572463,j2s6s300_link_base,0.2950129508972168,-0.25552839040756226,0.027411893010139465,-0.18948405981063843,0.7189965844154358,-0.1438082754611969,0.6530382633209229
1681293071516956068,34075,1681293071516569847,j2s6s300_link_base,0.2950129508972168,-0.25552839040756226,0.027411893010139465,-0.18948405981063843,0.7189965844154358,-0.1438082754611969,0.6530382633209229
1681293071616910831,34076,1681293071616570187,j2s6s300_link_base,0.2950129508972168,-0.25552839040756226,0.027411893010139465,-0.18948405981063843,0.7189965844154358,-0.1438082754611969,0.6530382633209229
1681293071716855283,34077,1681293071716535039,j2s6s300_link_base,0.2950129508972168,-0.25552839040756226,0.027411893010139465,-0.18948405981063843,0.7189965844154358,-0.1438082754611969,0.6530382633209229
1681293071816938353,34078,1681293071816537235,j2s6s300_link_base,0.2950129508972168,-0.25552839040756226,0.027411893010139465,-0.18948405981063843,0.7189965844154358,-0.1438082754611969,0.6530382633209229
1681293071916919684,34079,1681293071916535803,j2s6s300_link_base,0.2950129508972168,-0.25552839040756226,0.027411893010139465,-0.18948405981063843,0.7189965844154358,-0.1438082754611969,0.6530382633209229
1681293072016925620,34080,1681293072016530352,j2s6s300_link_base,0.2950129508972168,-0.25552839040756226,0.027411893010139465,-0.18948405981063843,0.7189965844154358,-0.1438082754611969,0.6530382633209229
1681293072116935626,34081,1681293072116532251,j2s6s300_link_base,0.2950129508972168,-0.25552839040756226,0.027411893010139465,-0.18948405981063843,0.7189965844154358,-0.1438082754611969,0.6530382633209229
1681293072217946219,34082,1681293072217536255,j2s6s300_link_base,0.2950129508972168,-0.25552839040756226,0.027411893010139465,-0.18948405981063843,0.7189965844154358,-0.1438082754611969,0.6530382633209229
1681293072317928185,34083,1681293072317529353,j2s6s300_link_base,0.2950130105018616,-0.25552889704704285,0.027411675080657005,-0.18948453664779663,0.7189963459968567,-0.14380887150764465,0.6530381441116333
1681293072416925978,34084,1681293072416530025,j2s6s300_link_base,0.29501309990882874,-0.2555299997329712,0.027411241084337234,-0.18948568403720856,0.718995988368988,-0.1438102275133133,0.6530380249023438
1681293072516922208,34085,1681293072516538181,j2s6s300_link_base,0.29501116275787354,-0.25553402304649353,0.02741311304271221,-0.18948489427566528,0.7189961075782776,-0.1438153088092804,0.6530369520187378
1681293072616934026,34086,1681293072616533843,j2s6s300_link_base,0.2950121760368347,-0.25553324818611145,0.027413513511419296,-0.18948665261268616,0.7189955711364746,-0.14381450414657593,0.6530371308326721
1681293072715925721,34087,1681293072715535962,j2s6s300_link_base,0.29501134157180786,-0.2555358111858368,0.02741510234773159,-0.18948718905448914,0.7189953327178955,-0.1438179612159729,0.6530365347862244
1681293072817931307,34088,1681293072817534082,j2s6s300_link_base,0.29501134157180786,-0.2555501461029053,0.027428332716226578,-0.18950216472148895,0.7189905643463135,-0.14383834600448608,0.6530329585075378
1681293072916976775,34089,1681293072916553178,j2s6s300_link_base,0.2950105369091034,-0.25559160113334656,0.027465226128697395,-0.18954333662986755,0.7189773917198181,-0.14389722049236298,0.6530225276947021
1681293073016967438,34090,1681293073016535760,j2s6s300_link_base,0.2950163185596466,-0.25605708360671997,0.02774442918598652,-0.18996965885162354,0.7188968062400818,-0.14391915500164032,0.6529824733734131
1681293073118082269,34091,1681293073117533414,j2s6s300_link_base,0.29482898116111755,-0.25634846091270447,0.028184641152620316,-0.1940147429704666,0.719626784324646,-0.13909544050693512,0.6520339250564575
1681293073216998684,34092,1681293073216568403,j2s6s300_link_base,0.294534832239151,-0.2575647532939911,0.027705788612365723,-0.20140977203845978,0.7219591736793518,-0.12906956672668457,0.6492689251899719
1681293073316995298,34093,1681293073316566100,j2s6s300_link_base,0.2938033938407898,-0.26060256361961365,0.02746780961751938,-0.21049460768699646,0.7242074012756348,-0.11675924062728882,0.6462065577507019
1681293073416967103,34094,1681293073416533295,j2s6s300_link_base,0.2917850911617279,-0.2643011510372162,0.027507394552230835,-0.21849621832370758,0.7251991033554077,-0.1080487072467804,0.6439496278762817
1681293073515804519,34095,1681293073515509375,j2s6s300_link_base,0.28809496760368347,-0.2677220106124878,0.027881111949682236,-0.22469934821128845,0.7254022359848022,-0.1026749312877655,0.642463743686676
1681293073616953215,34096,1681293073616523728,j2s6s300_link_base,0.2841855585575104,-0.2704731225967407,0.028155885636806488,-0.22867389023303986,0.7258681058883667,-0.09890912473201752,0.6411246061325073
1681293073716986897,34097,1681293073716583051,j2s6s300_link_base,0.2813434898853302,-0.272857129573822,0.02841988578438759,-0.2317536324262619,0.7259576320648193,-0.09662558138370514,0.6402649879455566
