%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1680006083657319640,13218,1680006083657112364,j2s6s300_link_base,-0.35384058952331543,-0.419059693813324,-0.023426353931427002,0.2137066125869751,-0.9754137396812439,0.044100139290094376,0.030864089727401733
1680006083757339391,13219,1680006083757118335,j2s6s300_link_base,-0.35260245203971863,-0.41769957542419434,-0.026775360107421875,0.21368975937366486,-0.9755716323852539,0.0423276424407959,0.028375383466482162
1680006083857316625,13220,1680006083857107990,j2s6s300_link_base,-0.3505438268184662,-0.41548579931259155,-0.03217652440071106,0.2136847823858261,-0.9758018851280212,0.039457425475120544,0.02434215322136879
1680006083957263861,13221,1680006083957108778,j2s6s300_link_base,-0.3485811948776245,-0.4133203327655792,-0.037337660789489746,0.21364226937294006,-0.9760068655014038,0.03671203926205635,0.02048817276954651
1680006084057248673,13222,1680006084057111505,j2s6s300_link_base,-0.34743237495422363,-0.4120703935623169,-0.040434688329696655,0.2136257439851761,-0.9761149287223816,0.03509717807173729,0.018220743164420128
1680006084157231717,13223,1680006084157116140,j2s6s300_link_base,-0.3467255234718323,-0.41129690408706665,-0.04241117835044861,0.21361182630062103,-0.9761791825294495,0.03408598154783249,0.01680135726928711
1680006084257256520,13224,1680006084257118545,j2s6s300_link_base,-0.3463228940963745,-0.41088664531707764,-0.043495237827301025,0.21362249553203583,-0.9762090444564819,0.03353290632367134,0.01602388359606266
1680006084357251569,13225,1680006084357130245,j2s6s300_link_base,-0.34609919786453247,-0.4107019007205963,-0.04416438937187195,0.21365463733673096,-0.976219654083252,0.033223606646060944,0.015587713569402695
1680006084457202010,13226,1680006084457116295,j2s6s300_link_base,-0.346375048160553,-0.4110322594642639,-0.0442943274974823,0.2136746346950531,-0.9762060642242432,0.03338654711842537,0.01581549271941185
1680006084557262236,13227,1680006084557150479,j2s6s300_link_base,-0.3479137122631073,-0.41299301385879517,-0.04363712668418884,0.21385782957077026,-0.9760883450508118,0.03470690920948982,0.017658794298768044
1680006084657318108,13228,1680006084657175658,j2s6s300_link_base,-0.3500122129917145,-0.41590455174446106,-0.04249611496925354,0.2142489105463028,-0.9758783578872681,0.03665749728679657,0.020371316000819206
1680006084757297844,13229,1680006084757152088,j2s6s300_link_base,-0.3508507311344147,-0.41705864667892456,-0.043434858322143555,0.21439026296138763,-0.9758202433586121,0.03706361725926399,0.020930292084813118
1680006084857409064,13230,1680006084857162346,j2s6s300_link_base,-0.3495835065841675,-0.41607382893562317,-0.048407912254333496,0.2146080881357193,-0.9759038090705872,0.03504398837685585,0.018084309995174408
1680006084957300240,13231,1680006084957165356,j2s6s300_link_base,-0.3473186492919922,-0.4136068820953369,-0.055934131145477295,0.21457183361053467,-0.9761084914207458,0.03156740590929985,0.01321470271795988
1680006085057334044,13232,1680006085057161730,j2s6s300_link_base,-0.3478904068470001,-0.4142322540283203,-0.06055104732513428,0.21457618474960327,-0.9761456251144409,0.030808141455054283,0.01215299777686596
1680006085157293232,13233,1680006085157157290,j2s6s300_link_base,-0.351291298866272,-0.41799718141555786,-0.06199321150779724,0.21465103328227997,-0.9760241508483887,0.03282453492283821,0.014978546649217606
1680006085257286195,13234,1680006085257157132,j2s6s300_link_base,-0.3541032075881958,-0.4211125373840332,-0.062362849712371826,0.21472850441932678,-0.9758985638618469,0.034697066992521286,0.017603963613510132
1680006085357319716,13235,1680006085357155774,j2s6s300_link_base,-0.35580942034721375,-0.4230029284954071,-0.06265941262245178,0.21478645503520966,-0.9758157134056091,0.03581632673740387,0.019174253568053246
1680006085457253175,13236,1680006085457121912,j2s6s300_link_base,-0.3563086688518524,-0.42355918884277344,-0.06405383348464966,0.21481762826442719,-0.9758077263832092,0.03583400323987007,0.01920076459646225
