%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1680005943557162307,11817,1680005943557015035,j2s6s300_link_base,-0.3597668409347534,-0.5176803469657898,-0.021555095911026,-0.3678659498691559,0.9289804697036743,0.02626444585621357,-0.03130621463060379
1680005943657163843,11818,1680005943657001955,j2s6s300_link_base,-0.3597668409347534,-0.5176803469657898,-0.021555095911026,-0.3678659498691559,0.9289804697036743,0.02626444585621357,-0.03130621463060379
1680005943757154552,11819,1680005943756977130,j2s6s300_link_base,-0.3597668409347534,-0.5176803469657898,-0.021555095911026,-0.3678659498691559,0.9289804697036743,0.02626444585621357,-0.03130621463060379
1680005943857055021,11820,1680005943856988779,j2s6s300_link_base,-0.3597668409347534,-0.5176803469657898,-0.021555095911026,-0.3678659498691559,0.9289804697036743,0.02626444585621357,-0.03130621463060379
1680005943957099241,11821,1680005943957006712,j2s6s300_link_base,-0.3597668409347534,-0.5176803469657898,-0.021555095911026,-0.3678659498691559,0.9289804697036743,0.02626444585621357,-0.03130621463060379
1680005944057174633,11822,1680005944057015230,j2s6s300_link_base,-0.3597668409347534,-0.5176803469657898,-0.021555095911026,-0.3678659498691559,0.9289804697036743,0.02626444585621357,-0.03130621463060379
1680005944157179560,11823,1680005944157018141,j2s6s300_link_base,-0.3597668409347534,-0.5176803469657898,-0.021555095911026,-0.36786705255508423,0.9289800524711609,0.026264483109116554,-0.0313061848282814
1680005944257149017,11824,1680005944256978563,j2s6s300_link_base,-0.3597673177719116,-0.5176810622215271,-0.02155458927154541,-0.36786702275276184,0.9289799928665161,0.026263898238539696,-0.03130697086453438
1680005944357116271,11825,1680005944357006830,j2s6s300_link_base,-0.3597673177719116,-0.5176810622215271,-0.02155458927154541,-0.36786702275276184,0.9289799928665161,0.026263898238539696,-0.03130697086453438
1680005944457148556,11826,1680005944456981598,j2s6s300_link_base,-0.3597673177719116,-0.5176810622215271,-0.02155458927154541,-0.36786702275276184,0.9289799928665161,0.026263898238539696,-0.03130697086453438
1680005944557104752,11827,1680005944557014747,j2s6s300_link_base,-0.3597673177719116,-0.5176810622215271,-0.02155458927154541,-0.36786702275276184,0.9289799928665161,0.026263898238539696,-0.03130697086453438
1680005944657107283,11828,1680005944656981923,j2s6s300_link_base,-0.3597673177719116,-0.5176810622215271,-0.02155458927154541,-0.36786702275276184,0.9289799928665161,0.026263898238539696,-0.03130697086453438
