%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1680006601557090696,18397,1680006601556880758,j2s6s300_link_base,-0.371717631816864,-0.5558294057846069,-0.03705152869224548,0.48566147685050964,0.8726029992103577,0.005701607093214989,0.051616549491882324
1680006601656802528,18398,1680006601656638672,j2s6s300_link_base,-0.371717631816864,-0.5558294057846069,-0.03705152869224548,0.48566147685050964,0.8726029992103577,0.005701607093214989,0.051616549491882324
1680006601756807208,18399,1680006601756638356,j2s6s300_link_base,-0.371717631816864,-0.5558294057846069,-0.03705152869224548,0.48566147685050964,0.8726029992103577,0.005701607093214989,0.051616549491882324
1680006601856771754,18400,1680006601856640810,j2s6s300_link_base,-0.37171798944473267,-0.5558298826217651,-0.03705115616321564,0.48566150665283203,0.8726030588150024,0.005700865760445595,0.05161644518375397
1680006601956800668,18401,1680006601956640619,j2s6s300_link_base,-0.37171798944473267,-0.5558298826217651,-0.03705115616321564,0.48566150665283203,0.8726030588150024,0.005700865760445595,0.05161644518375397
1680006602056826029,18402,1680006602056634321,j2s6s300_link_base,-0.37171798944473267,-0.5558298826217651,-0.03705115616321564,0.48566150665283203,0.8726030588150024,0.005700865760445595,0.05161644518375397
1680006602156813855,18403,1680006602156635453,j2s6s300_link_base,-0.37171798944473267,-0.5558298826217651,-0.03705115616321564,0.48566150665283203,0.8726030588150024,0.005700865760445595,0.05161644518375397
1680006602256799961,18404,1680006602256638931,j2s6s300_link_base,-0.3717183470726013,-0.5558303594589233,-0.037049874663352966,0.4856613874435425,0.872603178024292,0.005699958652257919,0.05161629617214203
1680006602356815923,18405,1680006602356641879,j2s6s300_link_base,-0.37172070145606995,-0.5558288097381592,-0.037049874663352966,0.4856632351875305,0.8726021647453308,0.005699818953871727,0.051616329699754715
1680006602456772929,18406,1680006602456638950,j2s6s300_link_base,-0.37171703577041626,-0.555831253528595,-0.037049874663352966,0.4856603443622589,0.8726037740707397,0.005700020119547844,0.051616277545690536
1680006602556839583,18407,1680006602556682328,j2s6s300_link_base,-0.37171560525894165,-0.5558314919471741,-0.03705115616321564,0.4856596291065216,0.8726041316986084,0.005701003596186638,0.05161641538143158
1680006602656797655,18408,1680006602656665113,j2s6s300_link_base,-0.371715784072876,-0.5558295845985413,-0.037053465843200684,0.48566049337387085,0.8726036548614502,0.0057030245661735535,0.05161676183342934
1680006602756801328,18409,1680006602756671512,j2s6s300_link_base,-0.3716944456100464,-0.5558366775512695,-0.03706531226634979,0.48564690351486206,0.8726111054420471,0.0057131387293338776,0.05161786824464798
1680006602856788926,18410,1680006602856667497,j2s6s300_link_base,-0.3716820478439331,-0.5558403134346008,-0.03707355260848999,0.4856393337249756,0.8726152181625366,0.005719676613807678,0.05161872133612633
1680006602956821778,18411,1680006602956670053,j2s6s300_link_base,-0.3716675639152527,-0.5558192729949951,-0.03712718188762665,0.48564228415489197,0.8726127743721008,0.005759768187999725,0.051625266671180725
1680006603056854010,18412,1680006603056638338,j2s6s300_link_base,-0.37140488624572754,-0.5554691553115845,-0.03767281770706177,0.4856651723384857,0.8725911974906921,0.00635438971221447,0.051706463098526
1680006603156792705,18413,1680006603156638382,j2s6s300_link_base,-0.3703037202358246,-0.5539996027946472,-0.04022568464279175,0.4857616126537323,0.8724943399429321,0.00891270861029625,0.05205594375729561
1680006603256804603,18414,1680006603256636746,j2s6s300_link_base,-0.368594765663147,-0.5517215728759766,-0.04461166262626648,0.4859073758125305,0.8723293542861938,0.012959550134837627,0.05260744318366051
1680006603356731412,18415,1680006603356632196,j2s6s300_link_base,-0.3671189844608307,-0.5497432351112366,-0.048874497413635254,0.4860466718673706,0.8721646070480347,0.01645883172750473,0.053072284907102585
1680006603456772777,18416,1680006603456638315,j2s6s300_link_base,-0.36616086959838867,-0.5484545230865479,-0.05178371071815491,0.48613715171813965,0.8720495104789734,0.01874633878469467,0.05337493121623993
1680006603556697215,18417,1680006603556602152,j2s6s300_link_base,-0.36593055725097656,-0.5480599403381348,-0.0540594607591629,0.4863085150718689,0.8719542622566223,0.01893305405974388,0.05330228805541992
1680006603656784143,18418,1680006603656637657,j2s6s300_link_base,-0.36810702085494995,-0.5505977869033813,-0.05576865375041962,0.4867941439151764,0.8718820214271545,0.012317980639636517,0.05197468400001526
1680006603756746229,18419,1680006603756637811,j2s6s300_link_base,-0.37178805470466614,-0.5550171136856079,-0.05726739764213562,0.4874390959739685,0.8717362284660339,0.001158200204372406,0.049776703119277954
1680006603856822191,18420,1680006603856671498,j2s6s300_link_base,-0.3739185333251953,-0.5576087236404419,-0.05942028760910034,0.48784351348876953,0.8715710639953613,-0.005627842620015144,0.04838203638792038
1680006603956824018,18421,1680006603956672414,j2s6s300_link_base,-0.3745270371437073,-0.5586511492729187,-0.06252418458461761,0.48798006772994995,0.8715091943740845,-0.008499212563037872,0.04769859090447426
1680006604056843761,18422,1680006604056671691,j2s6s300_link_base,-0.37433984875679016,-0.5585011839866638,-0.0658467710018158,0.48811185359954834,0.8714432716369629,-0.008758030831813812,0.047505684196949005
1680006604156816127,18423,1680006604156671336,j2s6s300_link_base,-0.37429410219192505,-0.5584527254104614,-0.06771129369735718,0.48820582032203674,0.8713950514793396,-0.009033028036355972,0.04737302288413048
1680006604256800035,18424,1680006604256670723,j2s6s300_link_base,-0.3745206296443939,-0.5587100386619568,-0.06887182593345642,0.4883003830909729,0.8713444471359253,-0.00992116704583168,0.04715201258659363
1680006604356815789,18425,1680006604356674471,j2s6s300_link_base,-0.37463289499282837,-0.5588372349739075,-0.06945119798183441,0.4883471727371216,0.8713189363479614,-0.010362664237618446,0.0470418781042099
1680006604456828354,18426,1680006604456667774,j2s6s300_link_base,-0.37454792857170105,-0.5588778257369995,-0.06991134583950043,0.4883122742176056,0.8713394403457642,-0.010436007753014565,0.047008804976940155
1680006604556837227,18427,1680006604556672742,j2s6s300_link_base,-0.37371909618377686,-0.5596732497215271,-0.07020114362239838,0.48759666085243225,0.87173992395401,-0.01083536446094513,0.046920932829380035
1680006604656813723,18428,1680006604656635626,j2s6s300_link_base,-0.37387803196907043,-0.5624027252197266,-0.07051241397857666,0.4867316484451294,0.8722025156021118,-0.015269454568624496,0.046065881848335266
1680006604756809619,18429,1680006604756677654,j2s6s300_link_base,-0.3758666217327118,-0.5680733323097229,-0.07052704691886902,0.4857732057571411,0.8725844025611877,-0.02614263817667961,0.04401569068431854
1680006604856748504,18430,1680006604856636586,j2s6s300_link_base,-0.3759549558162689,-0.5722757577896118,-0.07133446633815765,0.48435190320014954,0.8732072710990906,-0.032969482243061066,0.042726002633571625
1680006604956882691,18431,1680006604956668500,j2s6s300_link_base,-0.3747060298919678,-0.5749853849411011,-0.07364565134048462,0.4828327000141144,0.873944878578186,-0.03642502427101135,0.04202381521463394
1680006605056863945,18432,1680006605056663703,j2s6s300_link_base,-0.3724523186683655,-0.5767306685447693,-0.07595133781433105,0.4811316132545471,0.8748541474342346,-0.03734651952981949,0.041807301342487335
